,player,matches,total_runs,average,strike_rate,wickets,economy,batting_score,bowling_score,fielding_score,allrounder_score
1,SP Narine,201,1820,17.5,165.3,209,6.79,46.07,80.45,30.73,60.01
2,RA Jadeja,264,3526,29.14,130.64,180,7.71,48.15,68.94,60.03,58.69
3,SK Raina,201,5536,32.37,136.83,25,7.39,48.58,68.17,41.36,56.67
4,Rashid Khan,153,635,13.8,156.4,179,7.28,41.6,76.52,33.89,56.54
5,SR Watson,145,3880,30.79,137.93,92,7.93,45.86,73.62,22.3,56.0
6,Harbhajan Singh,163,833,15.15,137.91,150,7.08,40.15,77.48,27.0,55.63
7,CH Gayle,141,4997,39.66,149.34,18,7.9,53.9,66.96,11.08,55.5
8,CH Morris,81,618,22.07,155.28,96,8.03,44.32,74.39,20.68,55.49
9,AR Patel,179,2089,21.54,133.74,139,7.43,41.64,72.43,40.58,55.39
10,YK Pathan,164,3222,29.29,143.52,42,7.4,47.51,69.92,21.92,55.04
11,JP Duminy,84,2029,39.78,124.02,23,7.38,48.2,70.26,12.81,54.59
12,MM Ali,72,1167,22.02,139.76,41,7.23,40.29,78.24,11.29,54.47
13,RG Sharma,278,7331,29.8,132.88,15,8.02,49.46,62.64,39.89,54.43
14,M Morkel,70,126,11.45,140.0,77,7.69,38.0,79.41,11.18,53.95
15,AD Russell,136,2655,27.95,174.1,123,9.51,53.58,62.27,17.51,53.88
16,IK Pathan,102,1150,21.7,121.05,80,7.78,39.07,75.93,20.46,53.8
17,JA Morkel,90,975,24.38,141.92,85,8.21,43.69,72.56,13.66,53.68
18,BJ Hodge,64,1400,33.33,125.22,17,7.77,44.85,71.44,11.12,53.44
19,KA Pollard,185,3437,28.4,147.57,69,8.79,49.6,60.12,39.78,53.35
20,GJ Maxwell,141,2820,23.9,155.12,41,8.3,44.2,69.04,23.35,53.29
21,DW Steyn,95,167,7.59,104.38,97,6.94,28.48,85.8,17.52,53.18
22,R Tewatia,118,1302,23.67,138.07,32,7.91,44.61,69.45,16.66,52.99
23,JC Archer,68,326,13.04,144.89,84,8.22,38.83,76.11,12.57,52.98
24,A Symonds,36,974,36.07,129.87,20,7.67,45.03,70.86,7.54,52.9
25,DJ Bravo,160,1560,22.61,129.57,183,8.38,41.27,68.12,36.58,52.88
26,Yuvraj Singh,129,2754,24.81,129.78,36,7.44,41.62,69.75,17.8,51.9
27,KH Pandya,158,1982,22.78,133.83,107,7.57,41.3,69.25,21.1,51.86
28,J Botha,34,409,20.45,113.93,25,6.92,34.45,77.8,9.02,51.41
29,R Ashwin,219,833,13.02,118.16,187,7.2,33.56,74.33,28.32,51.38
30,HH Pandya,160,2964,27.7,146.37,82,9.36,48.68,58.75,27.78,51.12
31,SL Malinga,122,88,5.5,88.89,170,7.14,25.12,82.12,28.21,51.08
32,DL Chahar,103,142,14.2,137.86,96,8.3,37.4,73.9,9.77,51.06
33,STR Binny,88,880,19.13,128.84,22,7.66,38.56,72.4,10.49,50.98
34,V Shankar,77,1233,26.23,129.79,9,8.67,41.27,68.62,13.7,50.82
35,C Green,43,1029,38.11,151.1,23,9.44,50.98,59.91,7.74,50.67
36,Shakib Al Hasan,72,795,19.39,124.41,63,7.44,36.59,73.23,12.28,50.65
37,MC Henriques,64,1000,27.78,126.9,42,8.14,41.82,68.05,11.34,50.58
38,JH Kallis,98,2427,28.55,109.23,65,7.9,38.97,69.13,18.67,50.51
39,N Rana,126,3078,27.48,137.72,10,9.03,43.81,65.88,11.28,50.49
40,B Kumar,206,354,9.32,93.9,226,7.71,28.32,76.99,30.24,50.41
41,PP Chawla,192,624,11.14,110.83,192,7.96,32.97,71.35,33.35,50.28
42,RJ Harris,37,117,9.75,104.46,45,7.55,28.58,80.66,8.24,49.98
43,MR Marsh,68,1855,30.92,148.52,37,8.52,44.78,64.97,5.96,49.98
44,PJ Cummins,80,642,19.45,152.49,87,8.89,42.81,65.05,13.2,49.86
45,MG Johnson,54,167,12.85,101.83,62,8.3,31.62,76.68,10.86,49.82
46,MJ Santner,36,136,17.0,110.57,30,7.51,35.33,73.74,7.11,49.79
47,JJ Bumrah,158,75,9.38,87.21,190,7.34,26.95,78.17,22.29,49.53
48,K Gowtham,41,247,13.72,166.89,21,8.24,44.02,64.14,8.23,49.5
49,ST Jayasuriya,30,768,27.43,144.36,13,7.96,43.83,64.86,4.78,49.39
50,DR Smith,91,2385,28.39,135.2,26,9.02,44.78,60.57,17.25,49.13
51,Abhishek Sharma,92,2379,29.37,171.27,11,9.04,51.06,55.44,11.97,49.12
52,Azhar Mahmood,23,388,20.42,128.05,29,7.82,35.79,72.42,3.74,49.07
53,A Ashish Reddy,28,280,18.67,145.08,18,9.07,42.02,65.6,5.59,48.99
54,P Kumar,119,340,8.95,108.28,90,7.73,30.25,75.58,12.6,48.88
55,Washington Sundar,81,888,20.65,135.37,40,7.77,40.18,66.09,8.18,48.64
56,Harpreet Brar,49,249,20.75,120.87,37,8.0,39.73,66.43,8.24,48.6
57,P Negi,49,365,14.04,126.3,34,7.87,35.67,70.03,9.54,48.52
58,TA Boult,124,93,9.3,109.41,145,8.51,30.26,72.53,21.06,48.36
59,K Rabada,101,262,13.1,109.62,151,8.79,32.3,70.93,17.89,48.24
60,A Mishra,162,381,11.91,90.93,174,7.38,27.9,74.44,20.04,48.06
61,JP Faulkner,60,527,20.27,135.13,61,8.72,40.62,62.31,15.39,47.86
62,Z Khan,99,117,8.36,82.98,102,7.59,24.91,77.26,16.78,47.65
63,R Bhatia,95,342,11.4,120.42,71,7.41,33.61,68.24,17.93,47.63
64,R Dhawan,41,210,19.09,112.3,25,8.08,37.1,66.05,7.43,47.16
65,R Vinay Kumar,105,310,11.07,113.14,105,8.42,31.44,68.46,21.75,47.13
66,NLTC Perera,38,424,19.27,137.22,31,8.73,40.12,62.42,9.48,47.09
67,DT Christian,51,460,14.84,115.58,38,8.1,32.7,68.71,13.71,47.01
68,LR Shukla,46,405,15.0,115.71,15,8.54,33.28,68.89,9.8,46.96
69,DS Kulkarni,92,104,11.56,96.3,86,8.31,28.61,73.34,10.66,46.94
70,UT Yadav,147,208,9.9,103.48,144,8.51,30.52,68.84,21.32,46.84
71,LS Livingstone,51,1066,25.38,155.17,13,9.02,43.8,58.31,8.54,46.8
72,BA Stokes,45,935,24.61,133.95,28,8.64,38.12,63.12,10.66,46.62
73,Mohammed Shami,132,115,6.05,103.6,145,8.66,28.39,70.11,22.57,46.58
74,AD Mathews,46,724,23.35,125.91,27,8.18,38.75,62.24,9.07,46.35
75,SK Warne,55,198,9.9,92.52,57,7.27,26.22,75.18,7.12,46.34
76,Mohammed Siraj,125,117,9.75,84.17,128,8.78,27.36,70.65,21.12,46.22
77,RD Chahar,80,129,8.06,104.03,75,7.78,29.26,71.31,9.5,46.21
78,JO Holder,57,324,12.46,123.19,70,8.58,33.83,65.93,11.86,46.08
79,S Gopal,51,180,12.86,106.51,52,8.17,31.69,69.69,3.17,45.94
80,V Kohli,278,9346,40.46,134.86,4,8.8,56.79,33.23,51.73,45.68
81,KV Sharma,89,352,13.54,119.32,83,8.38,33.65,65.19,10.02,45.48
82,MP Stoinis,119,2242,28.74,147.5,46,9.93,47.04,51.2,12.44,45.45
83,RP Singh,82,52,3.47,68.42,90,7.9,19.38,76.9,21.1,45.44
84,I Sharma,117,57,9.5,82.61,96,8.38,26.83,70.72,14.73,45.37
85,Sandeep Sharma,142,60,10.0,80.0,151,8.17,25.53,70.99,17.79,45.21
86,MA Starc,57,111,9.25,91.74,76,8.83,26.27,69.14,19.74,44.91
87,SM Curran,64,997,24.92,136.39,59,9.74,41.35,55.97,11.03,44.9
88,HV Patel,122,280,8.75,117.65,151,8.92,31.31,63.79,19.45,44.74
89,JD Unadkat,115,201,12.56,118.93,114,8.94,34.03,60.86,16.39,44.34
90,SN Thakur,112,349,11.63,132.7,119,9.57,34.85,59.99,15.93,44.27
91,Nithish Kumar Reddy,42,787,29.15,145.47,13,10.65,45.59,47.75,8.43,42.85
92,DJ Hooda,114,1497,17.61,127.62,10,8.64,35.73,54.69,21.3,42.82
93,Kuldeep Yadav,110,210,11.67,83.0,112,8.29,26.82,65.54,9.97,42.56
94,MM Sharma,120,125,6.94,91.91,134,8.77,25.69,64.86,17.78,42.53
95,AK Markram,69,1671,29.84,135.41,6,9.61,44.69,46.07,12.66,42.11
96,M Jansen,47,192,12.8,110.34,45,9.63,30.78,60.23,10.45,42.0
97,TM Dilshan,52,1153,26.81,114.5,5,8.1,38.36,52.72,8.69,41.86
98,Shahbaz Ahmed,60,603,20.79,123.31,27,9.79,36.78,52.86,8.12,41.15
99,R Parag,92,1879,25.39,144.32,9,9.69,42.62,43.85,17.24,40.64
100,DJ Hussey,63,1322,26.98,122.98,8,8.97,39.78,47.66,11.11,40.46
