,striker,matches,total_runs,average,strike_rate,boundary_pct,batting_score
1,V Suryavanshi,23,1028,2.17,217.34,37.42,43.41
2,Priyansh Arya,31,909,1.85,185.13,30.55,37.06
3,V Kohli,275,9346,1.31,131.14,16.33,34.85
4,AD Russell,114,2655,1.63,163.28,25.22,34.37
5,PD Salt,40,1258,1.69,168.63,27.48,34.35
6,Abhishek Sharma,89,2379,1.62,161.73,25.02,34.3
7,TM Head,52,1556,1.62,162.25,26.07,33.61
8,DA Warner,184,6567,1.35,135.43,18.54,33.44
9,TH David,59,1151,1.65,165.14,22.81,33.27
10,CH Gayle,141,4997,1.42,142.12,21.81,33.21
11,AB de Villiers,170,5181,1.49,148.58,19.13,33.17
12,RG Sharma,275,7331,1.3,129.55,17.41,32.96
13,JC Buttler,136,4647,1.45,144.86,20.89,32.82
14,SP Narine,122,1820,1.54,154.5,26.4,32.82
15,MS Dhoni,241,5439,1.33,132.63,15.58,32.48
16,RD Rickelton,26,836,1.63,162.96,25.93,32.47
17,YBK Jaiswal,82,2593,1.48,148.17,24.06,32.22
18,V Sehwag,104,2728,1.49,148.83,24.0,32.19
19,KL Rahul,149,5828,1.35,135.47,17.39,32.14
20,P Simran Singh,65,1865,1.53,152.87,23.77,31.88
21,S Dhawan,221,6769,1.23,123.45,16.8,31.73
22,N Pooran,100,2527,1.55,155.13,21.79,31.69
23,Naman Dhir,33,710,1.6,159.91,23.42,31.68
24,SA Yadav,164,4581,1.45,145.24,20.93,31.55
25,H Klaasen,60,2104,1.59,159.39,20.15,31.42
26,Shubman Gill,130,4598,1.38,137.71,17.91,31.05
27,Ashutosh Sharma,26,564,1.58,158.43,22.19,31.05
28,KA Pollard,168,3437,1.4,140.46,18.19,30.96
29,SV Samson,185,5181,1.37,137.43,17.9,30.94
30,F du Plessis,147,4773,1.32,132.4,17.03,30.59
31,Ishan Kishan,127,3600,1.4,139.59,19.93,30.47
32,GJ Maxwell,134,2820,1.49,148.73,21.04,30.44
33,WG Jacks,26,602,1.56,156.36,22.86,30.41
34,PP Shaw,79,1892,1.43,143.22,22.63,30.4
35,K Gowtham,27,247,1.55,155.35,20.13,30.38
36,RM Patidar,52,1612,1.56,155.75,20.87,30.29
37,HH Pandya,150,2964,1.4,140.08,18.19,30.23
38,Shashank Singh,42,905,1.54,153.91,20.07,30.14
39,SK Raina,200,5536,1.33,132.54,17.0,30.1
40,RR Pant,136,3879,1.42,141.62,19.42,30.08
41,KD Karthik,233,4843,1.31,131.35,17.01,29.87
42,AM Rahane,197,5367,1.22,122.23,15.51,29.68
43,B Sai Sudharsan,57,2515,1.43,142.9,19.38,29.55
44,Rashid Khan,72,635,1.47,146.99,20.37,29.54
45,Aniket Verma,20,315,1.54,153.66,20.98,29.5
46,Dhruv Jurel,51,1195,1.49,149.19,19.98,29.48
47,MP Stoinis,108,2242,1.41,141.18,18.77,29.48
48,MR Marsh,62,1855,1.44,143.69,20.6,29.47
49,SR Watson,141,3880,1.34,134.16,19.61,29.43
50,Q de Kock,118,3444,1.32,131.55,18.22,29.38
51,RV Uthappa,197,4954,1.26,126.15,16.88,29.37
52,CH Morris,49,618,1.5,149.64,18.4,29.31
53,YK Pathan,153,3222,1.38,138.05,18.17,29.14
54,JM Sharma,59,1107,1.47,147.21,20.48,29.11
55,JM Bairstow,52,1674,1.42,141.74,20.91,29.05
56,PJ Cummins,51,642,1.47,146.91,19.22,28.82
57,SO Hetmyer,85,1566,1.41,141.08,17.57,28.79
58,LS Livingstone,49,1066,1.47,147.03,20.14,28.75
59,T Stubbs,43,986,1.48,147.83,17.39,28.68
60,AC Gilchrist,80,2069,1.33,133.05,21.29,28.68
61,C Green,42,1029,1.47,146.58,18.95,28.61
62,Abdul Samad,58,859,1.44,143.65,18.39,28.59
63,RR Rossouw,22,473,1.47,147.35,21.81,28.56
64,SS Iyer,144,4233,1.32,131.83,16.69,28.48
65,DA Miller,143,3288,1.35,134.7,15.85,28.36
66,DR Smith,88,2385,1.32,132.28,20.08,28.29
67,RD Gaikwad,84,2839,1.32,131.8,17.04,28.16
68,RK Singh,62,1398,1.39,139.1,18.11,28.08
69,RA Tripathi,98,2291,1.34,134.21,18.39,28.04
70,RA Jadeja,205,3526,1.25,125.21,13.71,27.98
71,N Rana,121,3078,1.33,133.02,18.97,27.95
72,BB McCullum,109,2882,1.27,126.85,18.62,27.91
73,VR Iyer,62,1677,1.37,137.12,19.22,27.89
74,MA Agarwal,125,2764,1.29,128.8,17.47,27.84
75,G Gambhir,151,4217,1.2,119.67,15.64,27.83
76,CA Lynn,42,1329,1.36,136.45,20.33,27.78
77,M Shahrukh Khan,53,775,1.41,140.65,18.33,27.74
78,Abishek Porel,33,769,1.4,140.33,19.71,27.69
79,A Ashish Reddy,23,280,1.43,142.86,15.82,27.65
80,JC Archer,40,326,1.41,140.52,17.24,27.63
81,A Raghuvanshi,30,885,1.41,140.92,19.27,27.6
82,R Parag,86,1879,1.38,138.26,17.95,27.48
83,AT Rayudu,185,4348,1.25,124.58,15.24,27.41
84,S Dube,87,2129,1.37,136.91,17.3,27.4
85,WP Saha,143,2934,1.24,123.9,16.17,27.34
86,Tilak Varma,65,1858,1.38,138.24,17.41,27.31
87,Ramandeep Singh,26,299,1.41,141.04,16.98,27.27
88,JA Morkel,67,975,1.37,136.94,16.29,27.2
89,Harbhajan Singh,88,833,1.31,130.97,19.03,27.19
90,R Tewatia,91,1302,1.31,130.99,17.3,27.12
91,ST Jayasuriya,30,768,1.34,134.03,21.47,26.98
92,D Padikkal,89,2270,1.28,127.6,18.04,26.92
93,M Morkel,20,126,1.35,135.48,17.2,26.91
94,D Brevis,24,606,1.4,140.28,18.75,26.9
95,SE Marsh,69,2489,1.3,130.11,18.14,26.88
96,DP Conway,28,1080,1.36,136.02,19.02,26.79
97,SN Khan,43,746,1.34,134.17,19.06,26.78
98,MM Ali,59,1167,1.35,134.91,18.73,26.74
99,ML Hayden,32,1107,1.32,131.94,19.67,26.69
100,Nithish Kumar Reddy,35,787,1.39,139.05,16.96,26.69
101,PA Patel,136,2848,1.17,116.63,16.95,26.62
102,R Powell,30,555,1.36,135.7,18.58,26.57
103,JJ Roy,21,614,1.33,133.48,20.87,26.56
104,AR Patel,134,2089,1.28,127.77,15.05,26.49
105,KK Nair,78,1712,1.29,128.53,17.79,26.38
106,A Badoni,56,1178,1.33,133.11,16.16,26.33
107,AK Markram,66,1671,1.32,132.2,15.74,26.31
108,RN ten Doeschate,21,326,1.37,136.97,17.23,26.29
109,KH Pandya,123,1982,1.29,128.78,16.18,26.23
110,E Lewis,26,654,1.31,131.06,19.64,26.06
111,KP Pietersen,36,1001,1.32,132.06,17.28,26.03
112,DL Chahar,20,142,1.35,135.24,16.19,26.01
113,MK Pandey,163,4021,1.18,118.06,13.68,25.94
114,AJ Finch,90,2092,1.23,123.35,17.22,25.92
115,DJ Bravo,110,1560,1.25,125.1,14.92,25.89
116,MK Lomror,35,527,1.35,135.48,16.2,25.87
117,SM Curran,53,997,1.31,131.01,16.56,25.85
118,SPD Smith,93,2495,1.25,124.81,14.31,25.83
119,N Wadhera,37,784,1.34,134.48,18.35,25.81
120,M Vijay,105,2619,1.19,118.61,15.31,25.77
121,Yuvraj Singh,126,2754,1.25,124.78,16.63,25.76
122,JD Ryder,29,604,1.3,129.61,18.88,25.76
123,SE Rutherford,27,520,1.32,132.32,17.3,25.58
124,Washington Sundar,59,888,1.29,128.88,15.97,25.57
125,JP Faulkner,45,527,1.3,129.8,14.53,25.53
126,M Vohra,51,1083,1.25,125.49,17.03,25.33
127,C de Grandhomme,21,303,1.32,132.31,15.72,25.23
128,NLTC Perera,30,424,1.3,130.06,15.03,25.22
129,BA Stokes,43,935,1.3,130.22,15.74,25.04
130,Mandeep Singh,97,1706,1.2,120.31,15.09,24.9
131,KS Williamson,76,2132,1.23,122.95,14.48,24.79
132,SN Thakur,43,349,1.26,126.45,16.3,24.78
133,STR Binny,66,880,1.26,125.71,14.43,24.73
134,V Shankar,63,1233,1.25,125.18,13.81,24.6
135,DPMD Jayawardene,78,1808,1.19,118.79,15.77,24.58
136,MEK Hussey,58,1977,1.2,119.96,15.17,24.54
137,MC Henriques,54,1000,1.25,124.84,14.36,24.54
138,LMP Simmons,29,1079,1.23,122.89,17.43,24.53
139,JP Duminy,75,2029,1.21,120.77,12.2,24.52
140,SR Tendulkar,78,2334,1.14,114.19,15.9,24.5
141,BJ Hodge,63,1400,1.21,121.42,14.31,24.25
142,CL White,45,971,1.25,125.45,14.73,24.24
143,DJ Hooda,101,1497,1.23,123.41,13.19,24.18
144,SW Billings,27,503,1.26,126.07,15.04,24.12
145,A Symonds,36,974,1.25,124.71,14.72,24.06
146,R Dravid,82,2174,1.13,113.35,15.48,24.02
147,EJG Morgan,74,1406,1.19,119.05,14.9,23.98
148,Azhar Mahmood,21,388,1.25,124.76,16.72,23.97
