,player,matches,catches,run_outs,bowled_wickets,contributions_per_match,fielding_score
1,MS Dhoni,265,158,52,0,0.792,80.0
2,KD Karthik,250,145,45,0,0.76,71.85
3,RA Jadeja,264,104,25,40,0.64,60.03
4,RV Uthappa,200,92,45,0,0.685,55.08
5,V Kohli,278,126,20,1,0.529,51.73
6,AB de Villiers,179,120,20,0,0.782,49.51
7,SV Samson,190,90,28,0,0.621,44.64
8,SK Raina,201,106,13,1,0.597,41.36
9,WP Saha,157,93,20,0,0.72,40.97
10,AR Patel,179,80,5,39,0.693,40.58
11,RG Sharma,278,101,11,5,0.421,39.89
12,KA Pollard,185,97,13,5,0.622,39.78
13,PA Patel,137,69,26,0,0.693,36.84
14,DJ Bravo,160,69,14,21,0.65,36.58
15,MK Pandey,170,89,13,0,0.6,35.66
16,NV Ojha,101,65,24,0,0.881,34.42
17,Rashid Khan,153,51,6,45,0.667,33.89
18,DA Miller,153,92,8,0,0.654,33.73
19,PP Chawla,192,37,10,50,0.505,33.35
20,S Dhawan,222,100,2,1,0.464,33.12
21,DA Warner,185,88,9,0,0.524,33.04
22,KL Rahul,155,83,11,0,0.606,32.61
23,RR Pant,138,90,7,0,0.703,32.52
24,JC Buttler,137,88,8,0,0.701,32.46
25,AM Rahane,202,85,9,1,0.47,32.41
26,SP Narine,201,29,6,57,0.458,30.73
27,B Kumar,206,33,9,46,0.427,30.24
28,Ishan Kishan,130,68,15,0,0.638,30.17
29,F du Plessis,151,86,5,0,0.603,30.1
30,Q de Kock,118,75,10,0,0.72,29.5
31,AT Rayudu,194,64,14,0,0.402,28.33
32,R Ashwin,219,44,9,29,0.374,28.32
33,SL Malinga,122,15,6,63,0.689,28.21
34,HH Pandya,160,68,7,7,0.512,27.78
35,AC Gilchrist,80,51,20,0,0.888,27.68
36,Harbhajan Singh,163,38,10,29,0.472,27.0
37,SA Yadav,175,77,2,0,0.451,25.52
38,SS Iyer,145,64,9,0,0.503,25.45
39,YS Chahal,185,31,5,38,0.4,24.76
40,GJ Maxwell,141,52,7,9,0.482,23.35
41,JM Sharma,69,59,8,0,0.971,23.28
42,SPD Smith,102,54,10,0,0.627,22.86
43,Mohammed Shami,132,22,10,31,0.477,22.57
44,SR Watson,145,38,9,16,0.434,22.3
45,JJ Bumrah,158,15,4,48,0.424,22.29
46,YK Pathan,164,41,10,10,0.372,21.92
47,R Vinay Kumar,105,32,13,13,0.552,21.75
48,UT Yadav,147,36,4,24,0.435,21.32
49,DJ Hooda,114,59,4,1,0.561,21.3
50,Mohammed Siraj,125,37,2,26,0.52,21.12
51,KH Pandya,158,49,2,14,0.411,21.1
52,RP Singh,82,27,8,25,0.732,21.1
53,TA Boult,124,33,3,28,0.516,21.06
54,CH Morris,81,36,4,22,0.765,20.68
55,KC Sangakkara,68,45,11,0,0.824,20.58
56,IK Pathan,102,28,8,22,0.569,20.46
57,BB McCullum,110,38,14,0,0.473,20.1
58,A Mishra,162,19,10,26,0.34,20.04
59,MA Agarwal,128,59,2,0,0.477,19.83
60,MA Starc,57,30,4,25,1.035,19.74
61,HV Patel,122,26,9,19,0.443,19.45
62,Shubman Gill,132,57,2,0,0.447,19.2
63,SO Hetmyer,93,50,5,0,0.591,18.71
64,JH Kallis,98,30,6,18,0.551,18.67
65,RK Singh,66,52,3,0,0.833,18.19
66,R Bhatia,95,23,8,19,0.526,17.93
67,K Rabada,101,31,3,20,0.535,17.89
68,Yuvraj Singh,129,29,10,9,0.372,17.8
69,Sandeep Sharma,142,19,5,28,0.366,17.79
70,MM Sharma,120,25,5,22,0.433,17.78
71,N Pooran,103,45,6,0,0.495,17.7
72,DW Steyn,95,22,4,26,0.547,17.52
73,AD Russell,136,36,4,12,0.382,17.51
74,DR Smith,91,41,3,8,0.571,17.25
75,R Parag,92,49,3,0,0.565,17.24
76,Z Khan,99,20,6,22,0.485,16.78
77,R Tewatia,118,47,2,2,0.432,16.66
78,MK Tiwary,94,47,3,0,0.532,16.61
79,JD Unadkat,115,22,7,17,0.4,16.39
80,Ravi Bishnoi,86,27,4,17,0.558,16.25
81,Tilak Varma,68,44,4,0,0.706,16.23
82,V Sehwag,104,34,8,2,0.423,16.01
83,SN Thakur,112,33,4,10,0.42,15.93
84,M Vijay,106,48,1,0,0.462,15.77
85,H Klaasen,61,35,8,0,0.705,15.69
86,RD Gaikwad,85,44,3,0,0.553,15.66
87,JP Faulkner,60,16,8,18,0.7,15.39
88,CV Varun,94,15,4,26,0.479,15.31
89,DPMD Jayawardene,80,33,8,0,0.512,15.06
90,D Padikkal,90,42,3,0,0.5,15.02
91,EJG Morgan,78,36,6,0,0.538,14.85
92,I Sharma,117,20,3,21,0.376,14.73
93,Dhruv Jurel,51,37,5,0,0.824,14.6
94,KK Nair,87,29,9,0,0.437,14.37
95,KM Jadhav,85,31,7,0,0.447,13.85
96,A Nehra,88,17,2,23,0.477,13.84
97,DT Christian,51,28,4,8,0.784,13.71
98,V Shankar,77,35,4,1,0.519,13.7
99,JA Morkel,90,17,5,17,0.433,13.66
100,PD Salt,40,32,6,0,0.95,13.59
101,G Gambhir,152,28,8,0,0.237,13.47
102,KS Williamson,78,40,1,0,0.526,13.24
103,PJ Cummins,80,22,2,16,0.5,13.2
104,Mandeep Singh,103,38,2,0,0.388,13.18
105,JP Duminy,84,30,3,5,0.452,12.81
106,AK Markram,69,39,0,1,0.58,12.66
107,P Kumar,119,13,7,14,0.286,12.6
108,JC Archer,68,16,2,20,0.559,12.57
109,Arshdeep Singh,95,16,4,16,0.379,12.45
110,MP Stoinis,119,26,4,6,0.303,12.44
111,TH David,61,32,4,0,0.59,12.43
112,Shakib Al Hasan,72,13,7,13,0.458,12.28
113,MS Bisla,39,20,10,0,0.769,12.1
114,Abhishek Sharma,92,35,1,1,0.402,11.97
115,YBK Jaiswal,82,32,3,0,0.427,11.86
116,JO Holder,57,22,3,10,0.614,11.86
117,SB Jakati,58,19,4,10,0.569,11.5
118,RA Tripathi,99,34,1,0,0.354,11.34
119,MC Henriques,64,29,1,5,0.547,11.34
120,MM Ali,72,22,2,10,0.472,11.29
121,N Rana,126,29,2,3,0.27,11.28
122,L Balaji,73,9,4,19,0.438,11.19
123,M Morkel,70,11,4,17,0.457,11.18
124,BJ Hodge,64,22,5,4,0.484,11.12
