player,team,last_season,first_season,matches
A Flintoff,Chennai Super Kings,2009,2009,3
A Kamboj,Chennai Super Kings,2026,2024,25
A Mhatre,Chennai Super Kings,2026,2025,13
AJ Hosein,Chennai Super Kings,2026,2023,8
AT Rayudu,Chennai Super Kings,2023,2010,194
B Aparajith,Chennai Super Kings,2015,2015,1
BA Stokes,Chennai Super Kings,2023,2017,45
BW Hilfenhaus,Chennai Super Kings,2014,2012,17
C Ganapathy,Chennai Super Kings,2010,2010,1
CK Kapugedera,Chennai Super Kings,2008,2008,4
D Brevis,Chennai Super Kings,2026,2022,28
D Pretorius,Chennai Super Kings,2023,2022,7
DE Bollinger,Chennai Super Kings,2012,2010,27
DJ Bravo,Chennai Super Kings,2022,2008,160
DJ Hooda,Chennai Super Kings,2025,2015,114
DJ Hussey,Chennai Super Kings,2014,2008,63
DJ Mitchell,Chennai Super Kings,2024,2022,15
DP Conway,Chennai Super Kings,2025,2022,28
DP Nannes,Chennai Super Kings,2013,2009,29
DR Shorey,Chennai Super Kings,2019,2018,8
Gurjapneet Singh,Chennai Super Kings,2026,2026,8
IC Pandey,Chennai Super Kings,2015,2013,24
Imran Tahir,Chennai Super Kings,2021,2014,59
J Overton,Chennai Super Kings,2026,2025,13
JM Kemp,Chennai Super Kings,2010,2010,5
Joginder Sharma,Chennai Super Kings,2011,2008,16
KK Ahmed,Chennai Super Kings,2026,2018,76
KMDN Kulasekara,Chennai Super Kings,2012,2011,5
Kartik Sharma,Chennai Super Kings,2026,2026,11
M Manhas,Chennai Super Kings,2014,2008,41
M Ntini,Chennai Super Kings,2008,2008,9
M Vijay,Chennai Super Kings,2020,2009,106
MEK Hussey,Chennai Super Kings,2015,2008,58
MJ Henry,Chennai Super Kings,2026,2017,9
ML Hayden,Chennai Super Kings,2010,2008,32
MS Dhoni,Chennai Super Kings,2025,2008,265
MW Short,Chennai Super Kings,2026,2023,10
Monu Kumar,Chennai Super Kings,2020,2020,1
Mukesh Choudhary,Chennai Super Kings,2026,2022,24
NT Ellis,Chennai Super Kings,2025,2021,18
Noor Ahmad,Chennai Super Kings,2026,2023,51
P Amarnath,Chennai Super Kings,2008,2008,6
PH Solanki,Chennai Super Kings,2022,2022,2
